"id","representation","action","context","agent_role","target_role","source","n_responses","majority_norm","pct_majority"
"aesop_000","The Wolf And The Kid","Do not let anything turn you from your purpose.","","","","aesop_children_19994","0","",""
"aesop_001","The Tortoise And The Ducks","Foolish curiosity and vanity often lead to misfortune.","","","","aesop_children_19994","0","",""
"aesop_002","The Young Crab And His Mother","Do not tell others how to act unless you can set a good example.","","","","aesop_children_19994","0","",""
"aesop_003","The Frogs And The Ox","Do not attempt the impossible.","","","","aesop_children_19994","0","",""
"aesop_004","The Dog, The Cock, And The Fox","Those who try to deceive may expect to be paid in their own coin.","","","","aesop_children_19994","0","",""
"aesop_005","Belling The Cat","It is one thing to say that something should be done, but quite a different matter to do it.","","","","aesop_children_19994","0","",""
"aesop_006","The Eagle And The Jackdaw","Do not let your vanity make you overestimate your powers.","","","","aesop_children_19994","0","",""
"aesop_007","The Boy And The Filberts","Do not attempt too much at once.","","","","aesop_children_19994","0","",""
"aesop_008","Hercules And The Wagoner","Heaven helps those who help themselves.","","","","aesop_children_19994","0","",""
"aesop_009","The Kid And The Wolf","Do not say anything at any time that you would not say at all times.","","","","aesop_children_19994","0","",""
"aesop_010","The Town Mouse And The Country Mouse","Poverty with security is better than plenty in the midst of fear and uncertainty.","","","","aesop_children_19994","0","",""
"aesop_011","The Fox And The Grapes","There are many who pretend to despise and belittle that which is beyond their reach.","","","","aesop_children_19994","0","",""
"aesop_012","The Bundle Of Sticks","In unity is strength.","","","","aesop_children_19994","0","",""
"aesop_013","The Wolf And The Crane","Expect no reward for serving the wicked.","","","","aesop_children_19994","0","",""
"aesop_014","The Ass And His Driver","They who will not listen to reason but stubbornly go their own way against the friendly advice of those who are wiser than they, are on the road to misfortune.","","","","aesop_children_19994","0","",""
"aesop_015","The Oxen And The Wheels","They complain most who suffer least.","","","","aesop_children_19994","0","",""
"aesop_016","The Lion And The Mouse","A kindness is never wasted.","","","","aesop_children_19994","0","",""
"aesop_017","The Shepherd Boy And The Wolf","Liars are not believed even when they speak the truth.","","","","aesop_children_19994","0","",""
"aesop_018","The Gnat And The Bull","The smaller the mind the greater the conceit.","","","","aesop_children_19994","0","",""
"aesop_019","The Plane Tree","Our best blessings are often the least appreciated.","","","","aesop_children_19994","0","",""
"aesop_020","The Farmer And The Stork","You are judged by the company you keep.","","","","aesop_children_19994","0","",""
"aesop_021","The Sheep And The Pig","It is easy to be brave when there is no danger.","","","","aesop_children_19994","0","",""
"aesop_022","The Travelers And The Purse","We cannot expect any one to share our misfortunes unless we are willing to share our good fortune also.","","","","aesop_children_19994","0","",""
"aesop_023","The Lion And The Ass","Do not resent the remarks of a fool. Ignore them.","","","","aesop_children_19994","0","",""
"aesop_024","The Frogs Who Wished For A King","Be sure you can better your condition before you seek to change.","","","","aesop_children_19994","0","",""
"aesop_025","The Owl And The Grasshopper","Do not let flattery throw you off your guard against an enemy.","","","","aesop_children_19994","0","",""
"aesop_026","The Wolf And His Shadow","Do not let your fancy make you forget realities.","","","","aesop_children_19994","0","",""
"aesop_027","The Oak And The Reeds","Better to yield when it is folly to resist, than to resist stubbornly and be destroyed.","","","","aesop_children_19994","0","",""
"aesop_028","The Rat And The Elephant","A resemblance to the great in some things does not make us great.","","","","aesop_children_19994","0","",""
"aesop_029","The Boys And The Frogs","Always stop to think whether your fun may not be the cause of another's unhappiness.","","","","aesop_children_19994","0","",""
"aesop_030","The Crow And The Pitcher","In a pinch a good use of our wits may help us out.","","","","aesop_children_19994","0","",""
"aesop_031","The Ants And The Grasshopper","There's a time for work and a time for play.","","","","aesop_children_19994","0","",""
"aesop_032","The Ass Carrying The Image","Do not try to take the credit to yourself that is due to others.","","","","aesop_children_19994","0","",""
