"id","representation","action","context","agent_role","target_role","source","n_responses","majority_norm","pct_majority"
"nb_0_0","construction site: make sexual innuendos","make sexual innuendos","construction site","","","normbank","7","taboo","0.429"
"nb_1_1","cafe: talk about sex","talk about sex","cafe","","","normbank","11","taboo","0.636"
"nb_3_3","banquet hall: have long hair","have long hair","banquet hall","","","normbank","22","normal","0.455"
"nb_4_4","arena: drink beer","drink beer","arena","","","normbank","17","taboo","0.647"
"nb_5_5","tattoo studio: get a tattoo of something related to drugs","get a tattoo of something related to drugs","tattoo studio","","","normbank","25","normal","0.6"
"nb_6_6","library: wear shoes","wear shoes","library","","","normbank","9","normal","0.667"
"nb_7_7","running track: kiss someone","kiss someone","running track","","","normbank","79","normal","0.595"
"nb_8_8","waterfall: ride a bike","ride a bike","waterfall","","","normbank","9","taboo","0.667"
"nb_9_9","campus: bring drugs","bring drugs","campus","","","normbank","5","taboo","0.6"
"nb_10_10","grocery store: bring your own bags","bring your own bags","grocery store","","","normbank","11","taboo","0.545"
"nb_11_11","doctors office: get a blood test","get a blood test","doctors office","","","normbank","25","normal","0.44"
"nb_12_9","campus: go to homecoming","go to homecoming","campus","","","normbank","5","taboo","0.4"
"nb_13_12","farm: go outside without a shirt on","go outside without a shirt on","farm","","","normbank","9","normal","0.556"
"nb_14_13","drugstore: buy abortion pills","buy abortion pills","drugstore","","","normbank","26","normal","0.462"
"nb_15_14","bathroom: use soap","use soap","bathroom","","","normbank","17","taboo","0.471"
"nb_16_15","pool: have a water gun fight","have a water gun fight","pool","","","normbank","19","normal","0.526"
"nb_17_16","airplane: talk to yourself","talk to yourself","airplane","","","normbank","11","normal","0.545"
"nb_18_17","airplane cabin: read the bible","read the bible","airplane cabin","","","normbank","14","taboo","0.571"
"nb_19_16","airplane: watch a movie","watch a movie","airplane","","","normbank","12","taboo","0.667"
"nb_20_18","golf course: curse","curse","golf course","","","normbank","14","taboo","0.571"
"nb_21_19","country road: go for a walk","go for a walk","country road","","","normbank","41","normal","0.488"
"nb_22_20","army base: drink milk","drink milk","army base","","","normbank","12","taboo","0.5"
"nb_23_21","balloon festival: play music","play music","balloon festival","","","normbank","16","taboo","0.375"
"nb_25_23","basement: sit on the floor","sit on the floor","basement","","","normbank","22","normal","0.364"
"nb_26_24","dentists office: touch someone's face","touch someone's face","dentists office","","","normbank","25","taboo","0.4"
"nb_7_25","art gallery: kiss someone","kiss someone","art gallery","","","normbank","135","normal","0.348"
"nb_27_26","boxing hall: sign up for a boxing class","sign up for a boxing class","boxing hall","","","normbank","19","normal","0.579"
"nb_28_27","yoga studio: take a selfie","take a selfie","yoga studio","","","normbank","24","normal","0.542"
"nb_29_28","apartment: leave personal items out in the open","leave personal items out in the open","apartment","","","normbank","12","taboo","0.667"
"nb_30_29","church or chapel: wear earrings","wear earrings","church or chapel","","","normbank","28","taboo","0.429"
"nb_31_1","cafe: have a coming of age celebration","have a coming of age celebration","cafe","","","normbank","14","normal","0.429"
"nb_32_15","pool: drink alcohol","drink alcohol","pool","","","normbank","18","taboo","0.444"
"nb_33_30","bedroom: sleep on your side","sleep on your side","bedroom","","","normbank","13","taboo","0.385"
"nb_34_1","cafe: ask for a croissant","ask for a croissant","cafe","","","normbank","16","taboo","0.562"
"nb_35_17","airplane cabin: wear your hat backward","wear your hat backward","airplane cabin","","","normbank","9","taboo","0.778"
"nb_36_31","ski resort: wear a helmet","wear a helmet","ski resort","","","normbank","11","taboo","0.545"
"nb_37_32","attic: write on the walls","write on the walls","attic","","","normbank","8","taboo","0.625"
"nb_38_33","darkroom: discuss the merits of collectivism vs individualism","discuss the merits of collectivism vs individualism","darkroom","","","normbank","8","normal","0.5"
"nb_39_34","car: exceed the posted speed limit","exceed the posted speed limit","car","","","normbank","11","taboo","0.455"
"nb_40_29","church or chapel: partake in communion","partake in communion","church or chapel","","","normbank","44","taboo","0.386"
"nb_41_35","athletic field: analyze an athlete's performance","analyze an athlete's performance","athletic field","","","normbank","16","normal","0.5"
"nb_42_13","drugstore: buy birth control","buy birth control","drugstore","","","normbank","26","normal","0.577"
"nb_43_32","attic: store food","store food","attic","","","normbank","13","taboo","0.615"
"nb_44_9","campus: make small talk with someone","make small talk with someone","campus","","","normbank","19","expected","0.368"
"nb_45_24","dentists office: talk about race","talk about race","dentists office","","","normbank","21","normal","0.714"
"nb_46_4","arena: do a flip","do a flip","arena","","","normbank","13","taboo","0.462"
"nb_47_36","beach: wear a lot of makeup","wear a lot of makeup","beach","","","normbank","10","taboo","0.6"
"nb_48_37","shopping mall: wear pajamas","wear pajamas","shopping mall","","","normbank","10","expected","0.5"
"nb_49_38","hotel room: sleep in the nude","sleep in the nude","hotel room","","","normbank","15","normal","0.533"
"nb_50_5","tattoo studio: get a tattoo of a communist symbol","get a tattoo of a communist symbol","tattoo studio","","","normbank","67","normal","0.522"
"nb_51_30","bedroom: drink alcohol in public","drink alcohol in public","bedroom","","","normbank","71","normal","0.634"
"nb_52_39","nursery: say a prayer with a child","say a prayer with a child","nursery","","","normbank","10","normal","0.5"
"nb_53_24","dentists office: bring a box of chocolates","bring a box of chocolates","dentists office","","","normbank","5","normal","1.0"
"nb_54_29","church or chapel: enter with a weapon","enter with a weapon","church or chapel","","","normbank","29","taboo","0.552"
"nb_55_40","basketball court: taunt someone","taunt someone","basketball court","","","normbank","9","taboo","0.667"
"nb_56_35","athletic field: sell concessions","sell concessions","athletic field","","","normbank","10","normal","0.5"
"nb_57_41","casino: eat food","eat food","casino","","","normbank","19","taboo","0.474"
"nb_58_41","casino: retrieve something on the floor","retrieve something on the floor","casino","","","normbank","5","normal","1.0"
"nb_59_42","government office: show up late to a meeting","show up late to a meeting","government office","","","normbank","10","taboo","0.6"
"nb_60_29","church or chapel: rocking back and forth","rocking back and forth","church or chapel","","","normbank","18","normal","0.444"
"nb_61_2","cemetery: wear blue","wear blue","cemetery","","","normbank","22","normal","0.636"
"nb_62_43","gym: ask someone for help","ask someone for help","gym","","","normbank","11","expected","0.364"
"nb_63_4","arena: eat with your hands","eat with your hands","arena","","","normbank","12","taboo","0.75"
"nb_64_44","auditorium: sweep the floor","sweep the floor","auditorium","","","normbank","5","taboo","0.4"
"nb_65_32","attic: eat cereal","eat cereal","attic","","","normbank","17","taboo","0.588"
"nb_66_45","white house: go into the presidential bedroom","go into the presidential bedroom","white house","","","normbank","14","expected","0.429"
"nb_67_46","arcade: wear heels","wear heels","arcade","","","normbank","9","normal","0.444"
"nb_68_1","cafe: eat a pastry","eat a pastry","cafe","","","normbank","19","taboo","0.368"
"nb_69_35","athletic field: use leather equipment","use leather equipment","athletic field","","","normbank","13","expected","0.538"
"nb_70_10","grocery store: ask a store employee for help in the restroom","ask a store employee for help in the restroom","grocery store","","","normbank","12","taboo","0.5"
"nb_71_47","airport: provide wheelchair assistance","provide wheelchair assistance","airport","","","normbank","9","taboo","0.667"
"nb_72_48","gift shop: lean against the wall","lean against the wall","gift shop","","","normbank","11","taboo","0.545"
"nb_73_29","church or chapel: go into the sanctuary","go into the sanctuary","church or chapel","","","normbank","23","expected","0.435"
"nb_74_49","amusement park: wear a bikini","wear a bikini","amusement park","","","normbank","12","taboo","0.417"
"nb_75_50","restaurant: request crayons and a coloring menu","request crayons and a coloring menu","restaurant","","","normbank","16","normal","0.438"
"nb_76_51","camera shop: belch loudly","belch loudly","camera shop","","","normbank","7","normal","0.571"
"nb_77_52","bar: touch someone's belongings","touch someone's belongings","bar","","","normbank","13","taboo","0.385"
"nb_78_35","athletic field: bring a cooler","bring a cooler","athletic field","","","normbank","8","normal","0.375"
"nb_79_53","monument: leave offerings","leave offerings","monument","","","normbank","11","taboo","0.455"
"nb_80_54","crime scene: lift a footprint from the ground","lift a footprint from the ground","crime scene","","","normbank","13","taboo","0.538"
"nb_81_55","taxi: ask the driver personal questions","ask the driver personal questions","taxi","","","normbank","11","taboo","0.455"
"nb_82_56","post office: put your elbows on the counter","put your elbows on the counter","post office","","","normbank","9","normal","0.778"
"nb_83_32","attic: walk around","walk around","attic","","","normbank","7","normal","0.429"
"nb_84_5","tattoo studio: criticize another person's tattoo","criticize another person's tattoo","tattoo studio","","","normbank","10","taboo","0.6"
"nb_85_57","circus: juggle flaming torches","juggle flaming torches","circus","","","normbank","10","taboo","0.5"
"nb_86_58","garage: fix a broken appliance","fix a broken appliance","garage","","","normbank","14","taboo","0.714"
"nb_87_13","drugstore: ask for advice about safe sex","ask for advice about safe sex","drugstore","","","normbank","50","normal","0.6"
"nb_88_59","barber shop or beauty salon: wear revealing clothes","wear revealing clothes","barber shop or beauty salon","","","normbank","57","normal","0.754"
"nb_89_25","art gallery: welcome visitors","welcome visitors","art gallery","","","normbank","10","expected","0.5"
"nb_90_42","government office: accept gifts from lobbyists","accept gifts from lobbyists","government office","","","normbank","5","normal","0.6"
"nb_91_28","apartment: skip school","skip school","apartment","","","normbank","23","expected","0.391"
"nb_92_60","classroom: wear headphones","wear headphones","classroom","","","normbank","10","taboo","0.6"
"nb_93_61","kitchen: lift a pot of boiling water off the stove","lift a pot of boiling water off the stove","kitchen","","","normbank","31","taboo","0.355"
"nb_94_62","museum: charge people for admission","charge people for admission","museum","","","normbank","13","taboo","0.769"
"nb_95_63","childs room: leave the door open","leave the door open","childs room","","","normbank","7","taboo","0.429"
"nb_96_29","church or chapel: sit quietly","sit quietly","church or chapel","","","normbank","7","normal","0.429"
"nb_44_64","copy center: make small talk with someone","make small talk with someone","copy center","","","normbank","24","normal","0.458"
"nb_97_10","grocery store: do a cartwheel","do a cartwheel","grocery store","","","normbank","7","taboo","0.714"
"nb_98_65","jail or prison: brush your teeth","brush your teeth","jail or prison","","","normbank","11","expected","0.636"
"nb_99_11","doctors office: pray out loud","pray out loud","doctors office","","","normbank","19","normal","0.526"
