"scenario_id","action","setting","n_annotations","pct_taboo","pct_normal","pct_expected","majority_norm","entropy"
"nb_pilot_000","yell","bakery","14","0.357","0.357","0.286","taboo","1.577"
"nb_pilot_001","yell","circus","25","0.36","0.28","0.36","taboo","1.575"
"nb_pilot_002","yell","bedroom","8","0.375","0.375","0.25","taboo","1.561"
"nb_pilot_003","yell","airplane","7","0.429","0.286","0.286","taboo","1.557"
"nb_pilot_004","yell","running track","7","0.429","0.286","0.286","taboo","1.557"
"nb_pilot_005","yell","subway platform","14","0.429","0.357","0.214","taboo","1.531"
"nb_pilot_006","yell","waterfall","11","0.364","0.364","0.273","normal","1.573"
"nb_pilot_007","yell","fair","15","0.267","0.4","0.333","normal","1.566"
"nb_pilot_008","yell","taxi","8","0.375","0.375","0.25","normal","1.561"
"nb_pilot_009","yell","attic","13","0.385","0.385","0.231","normal","1.549"
"nb_pilot_010","yell","cornfield","17","0.353","0.412","0.235","normal","1.549"
"nb_pilot_011","yell","copy center","9","0.333","0.444","0.222","normal","1.53"
"nb_pilot_012","yell","nursing home","9","0.333","0.333","0.333","expected","1.585"
"nb_pilot_013","yell","courthouse","11","0.273","0.364","0.364","expected","1.573"
"nb_pilot_014","yell","childs room","10","0.3","0.3","0.4","expected","1.571"
"nb_pilot_015","yell","rodeo","19","0.368","0.263","0.368","expected","1.568"
"nb_pilot_016","yell","canyon","14","0.357","0.214","0.429","expected","1.531"
"nb_pilot_017","yell","ranch","9","0.333","0.222","0.444","expected","1.53"
"nb_pilot_018","yell","basketball court","9","0.444","0.222","0.333","taboo","1.53"
"nb_pilot_019","yell","paintball park","15","0.4","0.2","0.4","expected","1.522"
"nb_pilot_020","kiss someone","courthouse","8","0.375","0.375","0.25","taboo","1.561"
"nb_pilot_021","kiss someone","music store","8","0.375","0.25","0.375","taboo","1.561"
"nb_pilot_022","kiss someone","subway platform","7","0.429","0.286","0.286","taboo","1.557"
"nb_pilot_023","kiss someone","telephone booth","7","0.429","0.286","0.286","taboo","1.557"
"nb_pilot_024","kiss someone","temple","12","0.417","0.25","0.333","taboo","1.555"
"nb_pilot_025","kiss someone","hotel lobby","12","0.417","0.333","0.25","taboo","1.555"
"nb_pilot_026","kiss someone","dance studio","6","0.333","0.333","0.333","normal","1.585"
"nb_pilot_027","kiss someone","bookstore","6","0.333","0.333","0.333","normal","1.585"
"nb_pilot_028","kiss someone","art gallery","135","0.311","0.348","0.341","normal","1.583"
"nb_pilot_029","kiss someone","cornfield","17","0.294","0.353","0.353","normal","1.58"
"nb_pilot_030","kiss someone","beach","8","0.375","0.375","0.25","normal","1.561"
"nb_pilot_031","kiss someone","ski resort","12","0.25","0.417","0.333","normal","1.555"
"nb_pilot_032","kiss someone","armchair","7","0.286","0.286","0.429","expected","1.557"
"nb_pilot_033","kiss someone","golf course","5","0.4","0.2","0.4","expected","1.522"
"nb_pilot_034","kiss someone","forest","5","0.4","0.2","0.4","expected","1.522"
"nb_pilot_035","kiss someone","boat","13","0.462","0.077","0.462","expected","1.314"
"nb_pilot_036","kiss someone","massage parlor","5","0.4","0.2","0.4","taboo","1.522"
"nb_pilot_037","kiss someone","tent","16","0.25","0.5","0.25","normal","1.5"
"nb_pilot_038","kiss someone","basement","16","0.5","0.312","0.188","taboo","1.477"
"nb_pilot_039","kiss someone","paintball park","16","0.5","0.312","0.188","taboo","1.477"
"nb_pilot_040","talk about money","cinema","12","0.333","0.333","0.333","taboo","1.585"
"nb_pilot_041","talk about money","doctors office","8","0.375","0.25","0.375","taboo","1.561"
"nb_pilot_042","talk about money","cafe","7","0.429","0.286","0.286","taboo","1.557"
"nb_pilot_043","talk about money","circus","12","0.417","0.25","0.333","taboo","1.555"
