"pair","n","pattern","power","ambig_rate"
"flat_vs_neutral",20,"mostly_neutral",0.504,0.418
"flat_vs_neutral",30,"mostly_neutral",0.56,0.369
"flat_vs_neutral",40,"mostly_neutral",0.54,0.355
"flat_vs_neutral",50,"mostly_neutral",0.58,0.309
"flat_vs_neutral",60,"mostly_neutral",0.623,0.253
"flat_vs_neutral",75,"mostly_neutral",0.615,0.226
"flat_vs_neutral",100,"mostly_neutral",0.663,0.166
"flat_vs_neutral",150,"mostly_neutral",0.672,0.15
"flat_vs_neutral",200,"mostly_neutral",0.703,0.118
"flat_vs_polarized",20,"polarized",0.042,0.527
"flat_vs_polarized",30,"polarized",0.096,0.427
"flat_vs_polarized",40,"polarized",0.11,0.375
"flat_vs_polarized",50,"polarized",0.13,0.326
"flat_vs_polarized",60,"polarized",0.136,0.271
"flat_vs_polarized",75,"polarized",0.153,0.262
"flat_vs_polarized",100,"polarized",0.159,0.177
"flat_vs_polarized",150,"polarized",0.195,0.136
"flat_vs_polarized",200,"polarized",0.202,0.099
"neg_vs_polarized",20,"mostly_negative",0.476,0.395
"neg_vs_polarized",30,"mostly_negative",0.515,0.336
"neg_vs_polarized",40,"mostly_negative",0.542,0.284
"neg_vs_polarized",50,"mostly_negative",0.522,0.256
"neg_vs_polarized",60,"mostly_negative",0.551,0.199
"neg_vs_polarized",75,"mostly_negative",0.57,0.174
"neg_vs_polarized",100,"mostly_negative",0.582,0.128
"neg_vs_polarized",150,"mostly_negative",0.625,0.081
"neg_vs_polarized",200,"mostly_negative",0.59,0.065
