"pattern","n","power","ambig_rate"
"mostly_negative",20,0.734,0.23
"mostly_negative",30,0.745,0.226
"mostly_negative",40,0.774,0.173
"mostly_negative",50,0.823,0.127
"mostly_negative",60,0.813,0.122
"mostly_negative",75,0.83,0.095
"mostly_negative",100,0.851,0.07
"mostly_negative",150,0.829,0.062
"mostly_negative",200,0.848,0.044
"mostly_positive",20,0.705,0.26
"mostly_positive",30,0.747,0.211
"mostly_positive",40,0.769,0.167
"mostly_positive",50,0.806,0.131
"mostly_positive",60,0.828,0.106
"mostly_positive",75,0.825,0.095
"mostly_positive",100,0.834,0.095
"mostly_positive",150,0.86,0.062
"mostly_positive",200,0.863,0.04
"mostly_neutral",20,0.823,0.158
"mostly_neutral",30,0.881,0.108
"mostly_neutral",40,0.9,0.087
"mostly_neutral",50,0.903,0.075
"mostly_neutral",60,0.905,0.076
"mostly_neutral",75,0.923,0.054
"mostly_neutral",100,0.95,0.028
"mostly_neutral",150,0.934,0.036
"mostly_neutral",200,0.948,0.023
"polarized",20,0.11,0.373
"polarized",30,0.174,0.253
"polarized",40,0.191,0.215
"polarized",50,0.232,0.186
"polarized",60,0.247,0.154
"polarized",75,0.274,0.12
"polarized",100,0.267,0.088
"polarized",150,0.307,0.061
"polarized",200,0.272,0.037
"flat",20,0,0.568
"flat",30,0,0.507
"flat",40,0.032,0.459
"flat",50,0.056,0.416
"flat",60,0.08,0.361
"flat",75,0.107,0.318
"flat",100,0.137,0.267
"flat",150,0.18,0.185
"flat",200,0.179,0.149
