"n","scenario","power_setting","power_rel_friend","power_rel_auth","power_stakes","power_q1q2","median_r_retest","pct_retest_ok","median_icc_reword","pct_reword_ok"
20,"large",0.818,0.804,0.508,0.558,1,0.95646498773333,1,0.673271475605246,0.384
20,"medium",0.522,0.542,0.242,0.304,1,0.952771306469223,1,0.670843993381469,0.382
20,"small",0.192,0.198,0.114,0.124,1,0.948436960254637,1,0.675799483296891,0.408
30,"large",0.836,0.81,0.518,0.54,1,0.955967910624866,1,0.666027590884745,0.326
30,"medium",0.544,0.484,0.31,0.318,1,0.952293718695484,1,0.680047342235688,0.404
30,"small",0.202,0.198,0.122,0.128,1,0.946255015336357,1,0.673391868762579,0.338
40,"large",0.816,0.822,0.486,0.596,0.998,0.957647786715291,1,0.670628340746905,0.316
40,"medium",0.504,0.528,0.272,0.312,1,0.951727914315677,1,0.675953370613756,0.31
40,"small",0.204,0.19,0.128,0.132,1,0.948865934455657,1,0.677143102187822,0.316
50,"large",0.88,0.806,0.49,0.582,1,0.957176624367354,1,0.673200434567031,0.33
50,"medium",0.556,0.5,0.284,0.31,1,0.950749071116887,1,0.675847254651311,0.338
50,"small",0.186,0.174,0.128,0.116,0.998,0.947505442785633,1,0.672971826879208,0.324
60,"large",0.846,0.824,0.488,0.566,1,0.955998588786857,1,0.679136430691506,0.318
60,"medium",0.506,0.502,0.258,0.342,1,0.951274665758919,1,0.671447450666647,0.278
60,"small",0.184,0.21,0.1,0.132,1,0.947882980219422,1,0.674562325078606,0.308
75,"large",0.824,0.832,0.516,0.568,1,0.956838172528307,1,0.671608530820705,0.248
75,"medium",0.548,0.538,0.26,0.324,1,0.950492993039081,1,0.67629241999405,0.292
75,"small",0.19,0.206,0.128,0.116,1,0.946904154674618,1,0.672800136914047,0.278
100,"large",0.852,0.8,0.556,0.564,1,0.956192397790931,1,0.67362789645373,0.248
100,"medium",0.516,0.512,0.292,0.38,1,0.95005879584211,1,0.673165428237094,0.25
100,"small",0.174,0.18,0.094,0.138,1,0.946463499041071,1,0.677926413482834,0.3
